,Id,Fk_Asset,FK_OtherParameter,FK_Company,FK_OilAndGas,FK_HistoricCompany,FK_DataQuality,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,NPV Current Year Forward Case,NPV Current Year High Case,NPV Current Year Low Case,NPV Current Year,NPV Current Year Mid Case,NPV Current Year Low Low Case,NPV Current Year Mid Low Case,NPV Current Year Low Low Low Case,NPV Current Year Mid Low Low Case,NPV Current Year Mid Mid Low Case,NPV Current Year Mid Mid Low Low Case
854,303814,238910,3,8924,9,8924,30,24,24,15,0.0012,0.0036,0,0.0006,0.0028,-0.0003,0.0016,-7.00E-04,4.00E-04,2.10E-03,5.30E-03
855,303818,238910,111,8924,12,8924,30,24,24,8,0.737999976,0.564000011,0.809000015,0.749000013,0.615999997,0.843999982,0.707000017,0.864000022,0.778999984,0.643000007,0.742999971
856,303829,238910,3,8924,4,8924,30,24,24,11,0.093000002,0.133000001,-0.0095,0.0277,0.096000001,-0.0207,0.0449,-4.97E-02,8.80E-03,0.044799998,2.34E-02
857,303834,238910,3,2770,12,2770,30,24,24,8,-0.236000001,-0.180000007,-0.259000003,-0.238999993,-0.196999997,-0.268999994,-0.225999996,-0.275999993,-0.248999998,-0.206,-0.237000003
858,303836,238910,111,8924,2,8924,30,24,24,10,-0.0167,-0.038400002,-0.0049,-0.0141,-0.0308,-0.0031,-0.02,8.00E-04,-9.20E-03,-2.43E-02,-1.82E-02
859,303839,238910,3,11168,9,11168,30,24,24,15,0.002,0.0059,0,0.001,0.0046,-0.0004,0.0026,-1.10E-03,7.00E-04,3.40E-03,8.80E-03
860,303850,238914,3,685,4,685,30,24,24,11,0.222000003,0.340000004,0.028100001,0.148000002,0.244000003,-0.0027,0.115999997,-3.96E-02,0.054299999,0.184,0.087899998
861,303851,238914,111,18247,12,18247,30,24,24,8,,,,,,1.320000052,,1.460000038,,,
862,303852,238914,111,18340,2,18340,30,24,24,10,-0.128000006,-0.293000013,,-0.0999,-0.238999993,-0.050500002,-0.150000006,-1.57E-02,-0.101999998,-0.184,-0.123000003
863,303854,238914,3,685,9,685,30,24,24,15,0.006,0.0147,0.0029,0.0043,0.0119,0.0013,0.0071,-1.00E-04,4.50E-03,8.80E-03,5.70E-03
864,307895,244622,3,168,2,168,30,23,23,10,200.6699982,329.3900146,88.83000183,137.5800018,272.5700073,69.58000183,191.9700012,38.83000183,122.1200027,226.9900055,163.8000031
865,307896,244622,3,10,4,10,30,23,23,11,238.8899994,637.1199951,90.41000366,311.7099915,476.6600037,36.22999954,246.1399994,-13.64000034,144.1999969,360.519989,197.1699982
866,307900,244622,3,10,2,10,30,23,23,10,100.2600021,135.2100067,79.26999664,85.09999847,121.25,71.87000275,103.1800003,65.05000305,83.98000336,103.4499969,88.79000092
867,307904,244622,3,10,2,10,30,23,23,10,235.5800018,386.6700134,104.2799988,161.5099945,319.980011,81.66999817,225.3500061,45.56999969,143.3600006,266.4700012,192.2899933
868,302437,237729,3,685,4,685,30,3,9,11,0,90.55999756,0,0,67.91999817,0,0,0,0,52.88000107,0
