,Id,FK_Asset,Year,FK_Company,FK_OilAndGas,FK_DataQuality,FK_OtherParameter,FK_HistoricCompany,FK_LifeCycleTS,FK_LifeCycle,FK_OilAndGasType,Production,Production Forward Case,Production High Case,Production Low Case,Production Mid Case,Production Low Low Case,Production Mid Low Case,Production Low Low Low Case,Production Mid Low Low Case,Production Mid Mid Low Case,Production Mid Mid Low Low Case
2908,5009498,32567,2016,10,8,21,12,20932,16,14,9,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957,1.419999957
2909,5009516,32572,2016,168,12,21,12,3,14,14,8,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995,0.173999995
2910,5009525,32581,2016,685,2,21,12,685,14,2,10,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011,0.351000011
2911,5009534,32584,2016,168,12,21,12,168,14,2,8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.00E-02,2.00E-02,2.00E-02,2.00E-02
2912,5009535,32584,2016,685,4,21,12,685,14,2,11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.00E-02,2.00E-02,2.00E-02,2.00E-02
2913,5009543,32589,2016,10,12,21,12,20932,16,14,8,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038,5.460000038
2914,5009545,32589,2016,168,12,21,12,3,16,14,8,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057,6.440000057
2915,5009551,32593,2016,18340,12,21,12,20433,14,14,8,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003,0.108000003
2916,5009515,32572,2016,168,4,21,12,3,14,14,11,0,0,0,0,0,0,0,0,0,0,0
2917,5009521,32581,2016,10,4,21,12,6,14,2,11,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987,0.419999987
2918,5009531,32584,2016,168,4,21,12,3,14,2,11,0.036800001,0.036800001,0.036800001,0.036800001,0.036800001,0.036800001,0.036800001,3.68E-02,3.68E-02,3.68E-02,3.68E-02
2919,5009518,32572,2016,685,12,21,12,685,14,14,8,0.094400004,0.094400004,0.094400004,0.094400004,0.094400004,0.094400004,0.094400004,9.44E-02,9.44E-02,9.44E-02,9.44E-02
2920,5302883,32584,2018,168,12,21,12,168,14,2,8,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,1.31E-02,1.31E-02,1.31E-02,1.31E-02
2921,5302887,32584,2018,12830,12,21,12,12830,14,2,8,0.052299999,0.052299999,0.052299999,0.052299999,0.052299999,0.052299999,0.052299999,5.23E-02,5.23E-02,5.23E-02,5.23E-02
2922,5302895,32589,2018,168,4,21,12,3,14,14,11,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895,2.609999895
